Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,8.520000,9.240000,8.140000,8.880000,8.880000,181400400
2020-05-12,9.270000,9.340000,8.550000,8.550000,8.550000,127538500
2020-05-13,8.800000,9.210000,8.330000,9.140000,9.140000,162115000
2020-05-14,9.400000,9.490000,8.850000,9.020000,9.020000,173366200
2020-05-15,8.800000,9.180000,8.620000,8.680000,8.680000,105629600
2020-05-18,9.130000,9.140000,8.840000,8.870000,8.870000,70247600
2020-05-19,8.960000,9.630000,8.880000,9.290000,9.290000,134614200
2020-05-20,9.370000,9.490000,9.050000,9.160000,9.160000,80175200
2020-05-21,9.200000,9.580000,9.150000,9.490000,9.490000,75890600
2020-05-22,9.370000,9.850000,9.260000,9.700000,9.700000,101461700
2020-05-25,10.090000,11.290000,10.060000,11.210000,11.210000,160480600
2020-05-26,11.970000,12.410000,11.460000,11.570000,11.570000,150667100
2020-05-27,11.900000,12.320000,11.640000,12.180000,12.180000,114343300
2020-05-28,12.310000,12.900000,12.120000,12.580000,12.580000,127948300
2020-05-29,12.450000,12.700000,11.870000,12.400000,12.400000,101027800
2020-06-01,12.310000,13.620000,12.240000,13.430000,13.430000,119321200
2020-06-02,13.870000,14.240000,13.050000,13.280000,13.280000,127160500
2020-06-03,13.810000,13.890000,12.850000,13.480000,13.480000,136975700
2020-06-04,13.000000,14.040000,12.750000,13.950000,13.950000,124862900
2020-06-05,14.750000,15.190000,14.350000,14.850000,14.850000,123519100
2020-06-08,15.300000,15.530000,14.930000,15.500000,15.500000,83947300
2020-06-09,15.110000,15.440000,14.850000,14.970000,14.970000,72709600
2020-06-10,15.270000,15.720000,14.830000,14.950000,14.950000,92995000
2020-06-12,14.650000,15.150000,14.550000,14.640000,14.640000,87992100
2020-06-15,14.360000,15.790000,14.200000,15.620000,15.620000,116438400
2020-06-16,16.590000,16.660000,15.130000,15.150000,15.150000,139741900
2020-06-17,15.200000,15.550000,14.420000,15.140000,15.140000,148586900
2020-06-18,14.980000,15.730000,14.940000,15.130000,15.130000,82450700
2020-06-19,15.600000,15.720000,15.070000,15.180000,15.180000,93795500
2020-06-22,15.350000,15.420000,14.760000,14.900000,14.900000,52952500
2020-06-23,15.100000,15.240000,14.810000,15.030000,15.030000,47754200
2020-06-24,14.900000,15.070000,13.960000,14.580000,14.580000,74483100
2020-06-25,14.700000,14.820000,14.260000,14.550000,14.550000,57858000
2020-06-26,14.500000,14.780000,14.060000,14.290000,14.290000,62045500
2020-06-29,14.410000,15.450000,13.990000,15.380000,15.380000,115333400
2020-06-30,15.300000,15.880000,15.170000,15.310000,15.310000,81006200
2020-07-01,15.650000,16.049999,15.400000,15.990000,15.990000,80536600
2020-07-02,16.250000,16.799999,15.280000,15.390000,15.390000,127300900
2020-07-03,15.420000,15.710000,15.110000,15.550000,15.550000,52693100
2020-07-06,16.000000,16.100000,15.720000,15.960000,15.960000,44665700
2020-07-07,15.830000,16.040001,15.620000,15.860000,15.860000,47119400
2020-07-08,16.219999,16.559999,16.150000,16.370001,16.370001,70336900
2020-07-09,16.500000,17.670000,16.350000,17.549999,17.549999,112337300
2020-07-10,17.650000,18.059999,17.500000,17.620001,17.620001,71191100
2020-07-13,17.889999,19.049999,17.510000,17.650000,17.650000,124617300
2020-07-14,17.820000,18.540001,17.570000,17.750000,17.750000,107603400
2020-07-15,18.240000,18.530001,17.930000,18.450001,18.450001,67767800
2020-07-16,18.290001,19.000000,18.290001,19.000000,19.000000,63280900
2020-07-17,19.410000,19.959999,19.260000,19.719999,19.719999,90605000
2020-07-20,19.940001,21.280001,19.900000,21.170000,21.170000,115751100
2020-07-21,21.799999,22.360001,19.809999,20.620001,20.620001,172402000
2020-07-22,21.110001,21.469999,20.770000,21.290001,21.290001,93278400
2020-07-23,21.629999,21.730000,19.660000,19.799999,19.799999,129720500
2020-07-24,19.590000,19.840000,18.510000,19.540001,19.540001,144701500
2020-07-27,19.940001,20.100000,18.850000,18.910000,18.910000,95925000
2020-07-28,18.900000,20.660000,18.610001,20.410000,20.410000,116223900
2020-07-29,20.820000,21.010000,20.030001,20.120001,20.120001,71987500
2020-07-30,19.700001,20.440001,19.510000,20.200001,20.200001,62415700
2020-07-31,20.600000,20.770000,19.090000,19.520000,19.520000,79771300
